SampleID,Location,Country,Species,Source,Lat_N,Lon_E,IlluminaName,RunID
HO_Sent_Soil_08,Sentosa,Singapore,Halophila ovalis,Soil,1.258297,103.807229,AFI1319,MUX8041
HO_Sent_Soil_09,Sentosa,Singapore,Halophila ovalis,Soil,1.258297,103.807229,AFI1320,MUX8041
HO_Sent_Soil_10,Sentosa,Singapore,Halophila ovalis,Soil,1.258297,103.807229,AFI1321,MUX8041
HO_LK_Le_01,Langkawi,West Malaysia,Halophila ovalis,Leaf,6.457894,99.823622,AFI1322,MUX8041
HO_LK_Le_02,Langkawi,West Malaysia,Halophila ovalis,Leaf,6.457894,99.823622,AFI1323,MUX8041
HO_LK_Le_03,Langkawi,West Malaysia,Halophila ovalis,Leaf,6.457894,99.823622,AFI1324,MUX8041
HO_LK_Le_04,Langkawi,West Malaysia,Halophila ovalis,Leaf,6.457894,99.823622,AFI1325,MUX8041
HO_LK_Le_05,Langkawi,West Malaysia,Halophila ovalis,Leaf,6.457894,99.823622,AFI1326,MUX8041
HO_LK_Le_06,Langkawi,West Malaysia,Halophila ovalis,Leaf,6.457894,99.823622,AFI1327,MUX8041
HO_BLANK_03,Blank,Blank,Blank,Blank,6.457894,99.823622,AFI1328,MUX8041
HO_LK_Le_07,Langkawi,West Malaysia,Halophila ovalis,Leaf,6.457894,99.823622,AFI1329,MUX8041
HO_LK_Le_08,Langkawi,West Malaysia,Halophila ovalis,Leaf,6.457894,99.823622,AFI1330,MUX8041
HO_LK_Le_09,Langkawi,West Malaysia,Halophila ovalis,Leaf,6.457894,99.823622,AFI1331,MUX8041
HO_LK_Le_10,Langkawi,West Malaysia,Halophila ovalis,Leaf,6.457894,99.823622,AFI1332,MUX8041
HO_LK_Rh_01,Langkawi,West Malaysia,Halophila ovalis,Rhizome,6.457894,99.823622,AFI1333,MUX8041
HO_LK_Rh_02,Langkawi,West Malaysia,Halophila ovalis,Rhizome,6.457894,99.823622,AFI1334,MUX8041
HO_LK_Rh_03,Langkawi,West Malaysia,Halophila ovalis,Rhizome,6.457894,99.823622,AFI1335,MUX8041
HO_LK_Rh_04,Langkawi,West Malaysia,Halophila ovalis,Rhizome,6.457894,99.823622,AFI1336,MUX8041
HO_LK_Rh_05,Langkawi,West Malaysia,Halophila ovalis,Rhizome,6.457894,99.823622,AFI1337,MUX8041
HO_LK_Rh_06,Langkawi,West Malaysia,Halophila ovalis,Rhizome,6.457894,99.823622,AFI1338,MUX8041
HO_LK_Rh_07,Langkawi,West Malaysia,Halophila ovalis,Rhizome,6.457894,99.823622,AFI1339,MUX8041
